X1	X2	X3	X4	X5	X6	X7	1
1	NA	NA	NA	NA	NA	NA	NA
2	0.631202717	NA	NA	NA	NA	NA	NA
3	0.954624625	0.987188273	NA	NA	NA	NA	NA
4	0.999999988	0.413728808	0.910972178	NA	NA	NA	NA
5	0.565958858	1	0.982101519	0.294464364	NA	NA	NA
6	0.999997638	0.648243877	0.972348885	0.999999536	0.566945269	NA	NA
7	0.999984807	0.599606452	0.970660924	0.999992228	0.495250933	0.999999996	NA
X1	X2	X3	X4	X5	X6	X7	1
1	NA	NA	NA	NA	NA	NA	NA
2	0.368104992	NA	NA	NA	NA	NA	NA
3	0.010144918	0.663897375	NA	NA	NA	NA	NA
4	0.331587084	0.999999993	0.536377276	NA	NA	NA	NA
5	0.002309892	0.43775172	0.99999791	0.283443478	NA	NA	NA
6	0.123152139	0.992595255	0.977853102	0.983853932	0.92668377	NA	NA
7	0.089714299	0.99141353	0.960410844	0.979745339	0.872127647	1	NA
X1	X2	X3	X4	X5	X6	X7	1
1	NA	NA	NA	NA	NA	NA	NA
2	0.117895865	NA	NA	NA	NA	NA	NA
3	0.072404112	0.999986598	NA	NA	NA	NA	NA
4	0.721652049	0.762209088	0.609917075	NA	NA	NA	NA
5	0.064577755	0.999999993	0.9999961	0.610903753	NA	NA	NA
6	0.154028073	1	0.999979479	0.819868929	0.999999946	NA	NA
7	0.188834712	0.999917402	0.997909318	0.899915318	0.999586716	0.99996546	NA
X1	X2	X3	X4	X5	X6	X7	1
1	NA	NA	NA	NA	NA	NA	NA
2	0.999959322	NA	NA	NA	NA	NA	NA
3	0.983274157	0.996223684	NA	NA	NA	NA	NA
4	0.807356874	0.857925385	0.996465398	NA	NA	NA	NA
5	0.970056018	0.99086799	0.999999999	0.99564148	NA	NA	NA
6	0.997607551	0.962027592	0.716849208	0.271859885	0.595254014	NA	NA
7	0.942934152	0.975069796	0.999985097	0.999760089	0.999991598	0.528023316	NA
X1	X2	X3	X4	X5	X6	X7	1
1	NA	NA	NA	NA	NA	NA	NA
2	0.987436922	NA	NA	NA	NA	NA	NA
3	0.999974072	0.997205046	NA	NA	NA	NA	NA
4	0.590533468	0.932050028	0.611072999	NA	NA	NA	NA
5	0.999999932	0.930936532	0.99943822	0.200102526	NA	NA	NA
6	0.998527267	0.774784064	0.975412336	0.134142247	0.998228182	NA	NA
7	0.999999905	0.944323973	0.999527633	0.268135424	1	0.99882579	NA
X1	X2	X3	X4	X5	X6	X7	1
1	NA	NA	NA	NA	NA	NA	NA
2	0.355698726	NA	NA	NA	NA	NA	NA
3	0.723150409	0.995631952	NA	NA	NA	NA	NA
4	0.956783819	0.774756183	0.988951668	NA	NA	NA	NA
5	0.127691143	0.999513787	0.921722864	0.364571658	NA	NA	NA
6	0.638631676	0.999629895	0.99999475	0.966636062	0.979021002	NA	NA
7	0.957224291	0.824280926	0.993047856	1	0.45282093	0.976805184	NA
X1	X2	X3	X4	X5	X6	X7	1
1	NA	NA	NA	NA	NA	NA	NA
2	0.653958179	NA	NA	NA	NA	NA	NA
3	0.778741929	0.999989621	NA	NA	NA	NA	NA
4	0.999992702	0.549733555	0.718081594	NA	NA	NA	NA
5	0.99919161	0.731866414	0.867514959	0.999889462	NA	NA	NA
6	0.999800568	0.279291596	0.411481199	0.993325423	0.957340312	NA	NA
7	0.407929004	0.999755747	0.996495967	0.254876087	0.413589314	0.109924214	NA
X1	X2	X3	X4	X5	X6	X7	1
1	NA	NA	NA	NA	NA	NA	NA
2	0.995265583	NA	NA	NA	NA	NA	NA
3	0.228577475	0.444764281	NA	NA	NA	NA	NA
4	0.999491276	0.999950227	0.203355207	NA	NA	NA	NA
5	1	0.979770876	0.048506968	0.996677861	NA	NA	NA
6	0.999994468	0.965806619	0.076974207	0.990675881	0.999991016	NA	NA
7	0.494042011	0.789816653	0.996510903	0.518976413	0.181503424	0.235075688	NA
X1	X2	X3	X4	X5	X6	X7	1
1	NA	NA	NA	NA	NA	NA	NA
2	0.836674708	NA	NA	NA	NA	NA	NA
3	0.999505286	0.946931245	NA	NA	NA	NA	NA
4	0.999993742	0.481765355	0.987201954	NA	NA	NA	NA
5	0.986801562	0.988414164	0.999792545	0.861208006	NA	NA	NA
6	0.999401179	0.962122052	1	0.987267212	0.99991125	NA	NA
7	0.671579943	0.99994789	0.825032282	0.249784327	0.923416974	0.865782802	NA
